,loss,val_loss
0,-1759.17299515625,-1814.6646853515624
1,-1815.8550945703125,-1832.4815158203126
2,-1829.233911015625,-1840.5272693359375
3,-1835.289222890625,-1847.3614421875
4,-1839.9199580078125,-1851.638766015625
5,-1843.364979140625,-1854.2402755859375
6,-1846.0882809765626,-1855.7137853515626
7,-1848.4291233984375,-1857.9079267578124
8,-1850.7557666015625,-1861.000222265625
9,-1852.3521782421874,-1861.4516169921876
10,-1853.5576195703125,-1862.4965990234375
11,-1854.563477578125,-1864.07496953125
12,-1855.72080828125,-1864.629771875
13,-1856.52486765625,-1864.82643984375
14,-1856.8726037109375,-1865.0811890625
15,-1857.243840234375,-1865.17268828125
16,-1857.4791676171876,-1866.442696484375
17,-1857.7194715625,-1865.8272392578126
18,-1857.955652109375,-1865.757368359375
19,-1858.2317734375,-1866.4315287109375
20,-1858.5454918359376,-1866.8778990234375
21,-1858.6751896875,-1867.3573599609374
22,-1858.877817109375,-1866.768123046875
23,-1859.017397109375,-1866.4768587890626
24,-1859.115584375,-1867.444892578125
25,-1859.2189514453125,-1867.1351302734374
26,-1859.311698359375,-1867.34424921875
27,-1859.45413703125,-1866.8214234375
28,-1859.52026484375,-1866.50254609375
29,-1859.5460867578124,-1867.0895763671874
30,-1859.5768660546876,-1867.8737044921875
31,-1859.730035390625,-1867.559733984375
32,-1859.716376171875,-1868.306319921875
33,-1859.8735528515624,-1867.8286080078126
34,-1859.836098203125,-1867.8876908203124
35,-1859.967572890625,-1867.809119921875
36,-1859.944312109375,-1868.839269921875
37,-1860.030239609375,-1868.015756640625
38,-1860.1187963671875,-1868.8561244140626
39,-1860.11651703125,-1867.40010703125
40,-1860.1793334765625,-1868.5843357421875
41,-1860.1977233203124,-1868.36241171875
42,-1860.24269671875,-1868.9787044921875
43,-1860.3061684375,-1868.260938671875
44,-1860.3227489453125,-1869.025812890625
45,-1860.34767125,-1868.286099609375
46,-1860.378963046875,-1868.459150390625
47,-1860.4275190234375,-1868.2542779296875
48,-1860.4518640625,-1868.872862890625
49,-1860.5033310546876,-1868.494328515625
