,loss,val_loss
0,-241.69490810546876,-254.98591474609375
1,-256.79687306315105,-259.40749951171875
2,-259.6808823486328,-261.1804194824219
3,-261.2192869222005,-262.46649013671873
4,-262.20702836914063,-263.06978608398435
5,-262.87642135416667,-263.692625
6,-263.3834440917969,-263.9140703857422
7,-263.7264442545573,-264.2871032714844
8,-264.0007437093099,-264.34535500488283
9,-264.2199599853516,-264.659473828125
10,-264.4045222330729,-264.6278615722656
11,-264.540621875,-264.52197934570313
12,-264.6743910644531,-264.8070267578125
13,-264.78867645670573,-264.99328623046875
14,-264.8829519042969,-264.9680021972656
15,-264.96582529296876,-264.95377075195313
16,-265.05717076009114,-265.14880151367186
17,-265.1333311767578,-265.130021484375
18,-265.19647179361976,-265.11105795898436
19,-265.2456869954427,-265.23463369140626
20,-265.3103048990885,-265.19027529296875
21,-265.35910005696616,-265.24556938476564
22,-265.400222648112,-265.3355783203125
23,-265.4447834635417,-265.3460670410156
24,-265.4857572753906,-265.3086109375
25,-265.52448362630207,-265.43741943359373
26,-265.5639272298177,-265.44444038085936
27,-265.5938666992187,-265.3289068359375
28,-265.6285383789062,-265.3833617919922
29,-265.6538926106771,-265.438139453125
30,-265.6854669596354,-265.4308064941406
31,-265.7169988606771,-265.42357875976563
32,-265.7449411295573,-265.3712853271484
33,-265.7633878092448,-265.4868703125
34,-265.78595198567706,-265.52142104492185
35,-265.81750794270835,-265.4538641845703
36,-265.8268227376302,-265.4208624511719
37,-265.84689517415364,-265.49342348632814
38,-265.8743169108073,-265.519215625
39,-265.887872265625,-265.4990857910156
40,-265.9037788411458,-265.50929091796877
41,-265.9323158528646,-265.49572224121096
42,-265.93565847981773,-265.51344052734373
43,-265.9569033610026,-265.53260336914065
44,-265.9773152099609,-265.5509813232422
45,-265.9810402018229,-265.5253892578125
46,-266.0107487792969,-265.62644067382814
47,-266.02260087890625,-265.5967041992188
48,-266.029335546875,-265.3798367919922
49,-266.04434106445314,-265.57699455566404
