,episode_length,episode_reward
0,76,-185.42539775883026
1,117,-395.01092107513716
2,191,-748.0424178424075
3,224,-443.3663461528182
4,210,-618.5636048666106
5,125,-495.43772674082385
6,84,-461.06750440480386
7,70,-246.50433277201418
8,220,-974.5546092812746
9,97,-329.7585438137397
10,235,-702.7542099547285
11,144,-819.9575340813533
12,248,-558.5232023133327
13,120,-507.8746541889057
14,129,-555.4450091424113
15,204,-453.15434093370664
16,107,-550.8491753279179
17,202,-474.29307261174233
18,227,-444.7493236661001
19,123,-430.4079751947901
20,116,-444.3886272440147
21,72,-198.6514335337996
22,75,-119.17969302027852
23,134,-283.04949705961116
24,179,-644.306237660901
25,76,-360.79309833206884
26,109,-426.071678846492
27,76,-156.94984967587163
28,94,-386.0596468210864
29,208,-452.72187872539644
30,72,-406.55854806474974
31,140,-288.0743877820307
32,80,-417.96545091750806
33,231,-578.2954527305701
34,161,-438.11286547011576
35,208,-431.9224199293524
36,289,-325.45284409917616
37,287,-378.3856554119473
38,201,-219.74928783821593
39,124,-227.92070452965098
40,131,-450.44671716810024
41,315,-342.08434115722775
42,237,-335.588668259732
43,223,-339.0729732507548
44,85,-447.60496038936293
45,76,-394.6303215145421
46,199,-291.9156805812919
47,176,-262.2259727848096
48,328,-388.61980310193456
49,114,-349.7110873834741
50,137,-448.10697024605577
51,82,-419.6551720139803
52,327,-412.8910807605774
53,147,-355.9532405451864
54,259,15.785614674600865
55,122,-470.5110958834823
56,246,-353.38174528464026
57,236,-256.6260082658879
58,255,-340.64797011365306
59,274,-437.1118227646052
60,139,-288.82357443064586
61,246,-315.1877013786767
62,132,-321.0378182941233
63,617,-455.80423404793675
64,405,-401.32018342258283
65,320,-254.94350374059343
66,345,-363.1903377868183
67,217,-215.70807493266148
68,323,-360.0846991252091
69,107,-445.244566129241
70,81,-450.4874668315604
71,75,-350.4640488290942
72,250,-201.52447644199526
73,289,-303.4323103653572
74,230,-217.81324885589845
75,550,-379.2178140843667
76,169,-181.5137885044459
77,151,-179.11883846376617
78,431,-270.7194123056561
79,137,-158.2605518307809
80,735,-365.09756014467024
81,163,-195.51487204507123
82,181,-234.41170064357686
83,140,-172.71445753856628
84,121,-454.49010303899655
85,94,-358.1022242148083
86,180,-215.7098798553485
87,183,-214.89882389934922
88,132,-171.13070008076238
89,328,-234.57854572613178
90,200,-229.60005660748857
91,201,-232.78349358830826
92,287,-240.1681239188937
93,322,-251.0782007888343
94,141,-188.6615624376564
95,156,-217.37623986681695
96,240,-241.36068460054142
97,182,-224.02134470199712
98,166,-193.3723458758476
99,88,-348.0445227389313
100,129,-400.7503364502992
101,409,-258.80554508972943
102,126,-141.6754216850945
103,297,-204.36306012703017
104,167,-166.83018513890798
105,138,-155.33000650717796
106,86,-360.11182818716156
107,193,-201.1845952913846
108,126,-216.82214373706432
109,188,-196.85921083280468
110,210,-223.27116764763437
111,195,-201.097926959784
112,79,-280.1932780693876
113,138,-292.05463155466646
114,120,-426.91781453168113
115,143,-143.8733053928116
116,97,-373.1321467038072
117,121,-393.68466352778324
118,375,-261.2249222759317
119,157,-163.2336674611274
120,79,-232.53036620084245
121,94,-414.9823886333075
122,661,-232.7837337398631
123,91,-360.56138624451603
124,213,-217.03154595798978
125,165,-195.58062738339837
126,127,-335.2264154602523
127,84,-369.913270313314
128,159,-206.7611746669755
129,422,-248.4784044330434
130,270,-249.94251640357413
131,236,-205.99368986347943
132,185,-213.61475575881948
133,140,-183.25978993198908
134,318,-260.7331170943664
135,137,-364.714445935969
136,96,-340.34702882224485
137,180,-233.29101358033452
138,104,-337.14673043526324
139,114,-379.6517244891344
140,167,-193.4752260792934
141,194,-238.7952925018859
142,172,-247.1316150427718
143,259,-240.72908849730428
144,128,-137.22028402418655
145,205,-260.8598194239719
146,125,-215.80407616816433
147,102,-378.1755545821819
148,100,-182.94695026767624
149,104,-165.28400449122728
150,144,-186.11641478971114
151,167,-273.2849109623929
152,173,-300.07594647295036
153,137,-128.13578246977207
154,114,-206.89847926614453
155,97,-177.4665610461583
156,58,-176.8079440053889
157,134,-223.74394562030722
158,117,-211.50292728772644
159,101,-177.03276052768598
160,129,-368.2149414336906
161,232,-270.0978792584302
162,261,-238.72338527966363
163,113,-382.88985320192614
164,187,-234.06879313407583
165,114,-194.53567524330245
166,80,-226.88247483223068
167,111,-196.23341740695983
168,92,-185.6754342480856
169,249,-259.8922462803596
170,118,-205.35779449154293
171,156,-238.56982861791167
172,223,-266.4022137025962
173,133,-219.1570073176282
174,155,-225.47364356253001
175,114,-191.54819153193256
176,149,-250.97115233463015
177,244,-282.44115993251023
178,209,-265.8825692632605
179,215,-263.07108540995876
180,183,-241.21946148037887
181,112,-369.87835158901345
182,188,-230.22790727659745
183,61,-164.45280297682848
184,141,-227.62809546920306
185,349,-251.17218876118358
186,157,-244.3218236820151
187,239,-272.3270702578987
188,232,-282.87702523915107
