,episode_length,episode_reward
0,500,-500.0
1,500,-500.0
2,500,-500.0
3,500,-500.0
4,500,-500.0
5,500,-500.0
6,500,-500.0
7,500,-500.0
8,500,-500.0
9,358,-357.0
10,321,-320.0
11,334,-333.0
12,225,-224.0
13,343,-342.0
14,265,-264.0
15,243,-242.0
16,307,-306.0
17,235,-234.0
18,130,-129.0
19,106,-105.0
20,135,-134.0
21,142,-141.0
22,222,-221.0
23,205,-204.0
24,161,-160.0
25,147,-146.0
26,172,-171.0
27,107,-106.0
28,131,-130.0
29,156,-155.0
30,151,-150.0
31,185,-184.0
32,97,-96.0
33,179,-178.0
34,126,-125.0
35,128,-127.0
36,115,-114.0
37,99,-98.0
38,134,-133.0
39,146,-145.0
40,85,-84.0
41,133,-132.0
42,95,-94.0
43,115,-114.0
44,98,-97.0
45,99,-98.0
46,84,-83.0
47,93,-92.0
48,72,-71.0
49,145,-144.0
50,125,-124.0
51,84,-83.0
52,118,-117.0
53,92,-91.0
54,89,-88.0
55,143,-142.0
56,96,-95.0
57,153,-152.0
58,105,-104.0
59,88,-87.0
60,106,-105.0
61,97,-96.0
62,106,-105.0
63,143,-142.0
64,107,-106.0
65,86,-85.0
66,93,-92.0
67,110,-109.0
68,118,-117.0
69,85,-84.0
70,82,-81.0
71,85,-84.0
72,238,-237.0
73,174,-173.0
74,118,-117.0
75,120,-119.0
76,103,-102.0
77,85,-84.0
78,127,-126.0
79,86,-85.0
80,84,-83.0
81,102,-101.0
82,118,-117.0
83,107,-106.0
84,74,-73.0
85,80,-79.0
86,118,-117.0
87,116,-115.0
88,142,-141.0
89,109,-108.0
90,105,-104.0
91,109,-108.0
92,94,-93.0
93,123,-122.0
94,107,-106.0
95,88,-87.0
96,99,-98.0
97,95,-94.0
98,91,-90.0
99,121,-120.0
100,95,-94.0
101,70,-69.0
102,116,-115.0
103,112,-111.0
104,136,-135.0
105,113,-112.0
106,84,-83.0
107,88,-87.0
108,114,-113.0
109,130,-129.0
110,98,-97.0
111,113,-112.0
112,86,-85.0
113,175,-174.0
114,83,-82.0
115,79,-78.0
116,89,-88.0
117,112,-111.0
118,104,-103.0
119,88,-87.0
120,102,-101.0
121,94,-93.0
122,94,-93.0
123,96,-95.0
124,89,-88.0
125,94,-93.0
126,94,-93.0
127,109,-108.0
128,119,-118.0
129,140,-139.0
130,121,-120.0
131,78,-77.0
132,65,-64.0
133,91,-90.0
134,88,-87.0
135,88,-87.0
136,126,-125.0
137,92,-91.0
138,77,-76.0
139,121,-120.0
140,79,-78.0
141,91,-90.0
142,100,-99.0
143,109,-108.0
144,95,-94.0
145,101,-100.0
146,113,-112.0
147,142,-141.0
148,70,-69.0
149,111,-110.0
150,90,-89.0
151,74,-73.0
152,138,-137.0
153,104,-103.0
154,104,-103.0
155,90,-89.0
156,93,-92.0
157,76,-75.0
158,101,-100.0
159,82,-81.0
160,78,-77.0
161,105,-104.0
162,108,-107.0
163,91,-90.0
164,140,-139.0
165,79,-78.0
166,103,-102.0
167,83,-82.0
168,109,-108.0
169,112,-111.0
170,77,-76.0
171,124,-123.0
172,95,-94.0
173,95,-94.0
174,101,-100.0
175,111,-110.0
176,108,-107.0
177,81,-80.0
178,82,-81.0
179,90,-89.0
180,88,-87.0
181,90,-89.0
182,84,-83.0
183,76,-75.0
184,92,-91.0
185,70,-69.0
186,80,-79.0
187,76,-75.0
188,70,-69.0
189,123,-122.0
190,89,-88.0
191,97,-96.0
192,92,-91.0
193,96,-95.0
194,87,-86.0
195,77,-76.0
196,94,-93.0
197,65,-64.0
198,85,-84.0
199,73,-72.0
200,91,-90.0
201,138,-137.0
202,84,-83.0
203,75,-74.0
204,75,-74.0
205,71,-70.0
206,97,-96.0
207,93,-92.0
208,90,-89.0
209,105,-104.0
210,93,-92.0
211,94,-93.0
212,90,-89.0
213,99,-98.0
214,82,-81.0
215,79,-78.0
216,104,-103.0
217,89,-88.0
218,76,-75.0
219,76,-75.0
220,75,-74.0
221,88,-87.0
222,98,-97.0
223,97,-96.0
224,79,-78.0
225,64,-63.0
226,103,-102.0
227,97,-96.0
228,71,-70.0
229,125,-124.0
230,82,-81.0
231,81,-80.0
232,70,-69.0
233,105,-104.0
234,112,-111.0
235,93,-92.0
236,82,-81.0
237,77,-76.0
238,78,-77.0
239,90,-89.0
240,105,-104.0
241,87,-86.0
242,87,-86.0
243,72,-71.0
244,71,-70.0
245,90,-89.0
246,72,-71.0
247,91,-90.0
248,104,-103.0
249,83,-82.0
250,75,-74.0
251,86,-85.0
252,79,-78.0
253,82,-81.0
254,93,-92.0
255,70,-69.0
256,64,-63.0
257,64,-63.0
258,116,-115.0
259,71,-70.0
260,94,-93.0
261,105,-104.0
262,94,-93.0
263,71,-70.0
264,72,-71.0
265,101,-100.0
266,81,-80.0
267,81,-80.0
268,86,-85.0
269,72,-71.0
270,86,-85.0
271,103,-102.0
272,81,-80.0
273,83,-82.0
274,94,-93.0
275,72,-71.0
276,97,-96.0
277,82,-81.0
278,73,-72.0
279,97,-96.0
280,96,-95.0
281,124,-123.0
282,81,-80.0
283,75,-74.0
284,83,-82.0
285,81,-80.0
286,83,-82.0
287,98,-97.0
288,73,-72.0
289,78,-77.0
290,82,-81.0
291,89,-88.0
292,111,-110.0
293,77,-76.0
294,71,-70.0
295,85,-84.0
296,90,-89.0
297,78,-77.0
298,72,-71.0
299,107,-106.0
300,95,-94.0
301,75,-74.0
302,76,-75.0
303,84,-83.0
304,101,-100.0
305,93,-92.0
306,91,-90.0
307,78,-77.0
308,95,-94.0
309,94,-93.0
310,88,-87.0
311,91,-90.0
312,118,-117.0
313,84,-83.0
314,76,-75.0
315,64,-63.0
316,92,-91.0
317,77,-76.0
318,90,-89.0
319,93,-92.0
320,82,-81.0
321,93,-92.0
322,76,-75.0
323,93,-92.0
324,89,-88.0
325,94,-93.0
326,77,-76.0
327,64,-63.0
328,64,-63.0
329,113,-112.0
330,95,-94.0
331,64,-63.0
332,64,-63.0
333,86,-85.0
334,78,-77.0
335,81,-80.0
336,89,-88.0
337,77,-76.0
338,85,-84.0
339,90,-89.0
340,71,-70.0
341,74,-73.0
342,88,-87.0
343,92,-91.0
344,93,-92.0
345,87,-86.0
346,83,-82.0
347,72,-71.0
348,159,-158.0
349,74,-73.0
350,64,-63.0
351,110,-109.0
352,72,-71.0
353,74,-73.0
354,81,-80.0
355,95,-94.0
356,76,-75.0
357,81,-80.0
358,76,-75.0
359,93,-92.0
360,90,-89.0
361,81,-80.0
362,103,-102.0
363,83,-82.0
364,83,-82.0
365,88,-87.0
366,72,-71.0
367,96,-95.0
368,75,-74.0
369,102,-101.0
370,84,-83.0
371,77,-76.0
372,89,-88.0
373,81,-80.0
374,90,-89.0
375,86,-85.0
376,83,-82.0
377,92,-91.0
378,82,-81.0
379,85,-84.0
380,93,-92.0
381,117,-116.0
382,111,-110.0
383,98,-97.0
384,72,-71.0
385,73,-72.0
386,87,-86.0
387,102,-101.0
388,76,-75.0
389,72,-71.0
390,71,-70.0
391,107,-106.0
392,106,-105.0
393,78,-77.0
394,73,-72.0
395,82,-81.0
396,92,-91.0
397,78,-77.0
398,90,-89.0
399,89,-88.0
400,85,-84.0
401,109,-108.0
