,episode_length,episode_reward
0,500,-500.0
1,500,-500.0
2,500,-500.0
3,500,-500.0
4,500,-500.0
5,500,-500.0
6,500,-500.0
7,500,-500.0
8,500,-500.0
9,500,-500.0
10,500,-500.0
11,500,-500.0
12,500,-500.0
13,496,-495.0
14,500,-500.0
15,333,-332.0
16,500,-500.0
17,500,-500.0
18,500,-500.0
19,500,-500.0
20,500,-500.0
21,500,-500.0
22,500,-500.0
23,454,-453.0
24,500,-500.0
25,500,-500.0
26,500,-500.0
27,500,-500.0
28,500,-500.0
29,500,-500.0
30,500,-500.0
31,500,-500.0
32,500,-500.0
33,500,-500.0
34,500,-500.0
35,500,-500.0
36,500,-500.0
37,500,-500.0
38,424,-423.0
39,500,-500.0
40,500,-500.0
41,304,-303.0
42,318,-317.0
43,500,-500.0
44,500,-500.0
45,500,-500.0
46,500,-500.0
47,500,-500.0
48,500,-500.0
49,312,-311.0
50,500,-500.0
51,500,-500.0
52,374,-373.0
53,294,-293.0
54,500,-500.0
55,500,-500.0
56,500,-500.0
57,500,-500.0
58,500,-500.0
59,273,-272.0
60,380,-379.0
61,500,-500.0
62,500,-500.0
63,500,-500.0
64,500,-500.0
65,393,-392.0
66,253,-252.0
67,276,-275.0
68,500,-500.0
69,251,-250.0
70,453,-452.0
71,500,-500.0
72,500,-500.0
73,500,-500.0
74,500,-500.0
75,269,-268.0
76,186,-185.0
77,187,-186.0
78,130,-129.0
79,245,-244.0
80,350,-349.0
81,500,-500.0
82,489,-488.0
83,465,-464.0
84,500,-500.0
85,500,-500.0
86,500,-500.0
87,500,-500.0
88,500,-500.0
89,281,-280.0
90,500,-500.0
91,500,-500.0
92,500,-500.0
93,221,-220.0
94,272,-271.0
95,258,-257.0
96,444,-443.0
97,500,-500.0
98,500,-500.0
99,500,-500.0
100,500,-500.0
101,247,-246.0
102,467,-466.0
103,261,-260.0
104,167,-166.0
105,191,-190.0
106,152,-151.0
107,211,-210.0
108,474,-473.0
109,500,-500.0
110,500,-500.0
111,500,-500.0
112,235,-234.0
113,123,-122.0
114,131,-130.0
115,221,-220.0
116,150,-149.0
117,317,-316.0
118,112,-111.0
119,158,-157.0
120,139,-138.0
121,143,-142.0
122,94,-93.0
123,158,-157.0
124,500,-500.0
125,500,-500.0
126,500,-500.0
127,500,-500.0
128,500,-500.0
129,500,-500.0
130,259,-258.0
131,188,-187.0
132,148,-147.0
133,157,-156.0
134,162,-161.0
135,201,-200.0
136,407,-406.0
137,500,-500.0
138,500,-500.0
139,500,-500.0
140,273,-272.0
141,234,-233.0
142,394,-393.0
143,366,-365.0
144,137,-136.0
145,223,-222.0
146,173,-172.0
147,500,-500.0
148,500,-500.0
149,396,-395.0
150,138,-137.0
151,106,-105.0
152,137,-136.0
153,188,-187.0
154,178,-177.0
155,500,-500.0
156,269,-268.0
157,262,-261.0
158,500,-500.0
159,500,-500.0
160,129,-128.0
161,129,-128.0
162,148,-147.0
163,109,-108.0
164,237,-236.0
165,113,-112.0
166,500,-500.0
167,500,-500.0
168,500,-500.0
169,500,-500.0
170,500,-500.0
171,500,-500.0
172,500,-500.0
173,500,-500.0
174,500,-500.0
175,500,-500.0
176,500,-500.0
177,500,-500.0
178,500,-500.0
179,500,-500.0
180,263,-262.0
181,256,-255.0
182,273,-272.0
183,341,-340.0
184,500,-500.0
185,500,-500.0
186,500,-500.0
187,500,-500.0
188,267,-266.0
189,368,-367.0
190,500,-500.0
191,500,-500.0
192,486,-485.0
193,351,-350.0
194,460,-459.0
195,500,-500.0
196,500,-500.0
197,455,-454.0
198,500,-500.0
199,293,-292.0
200,315,-314.0
201,267,-266.0
202,198,-197.0
203,500,-500.0
204,310,-309.0
205,213,-212.0
206,226,-225.0
207,258,-257.0
208,500,-500.0
209,500,-500.0
210,500,-500.0
211,500,-500.0
212,500,-500.0
213,188,-187.0
214,161,-160.0
215,120,-119.0
216,119,-118.0
217,150,-149.0
218,163,-162.0
219,158,-157.0
220,210,-209.0
221,164,-163.0
222,219,-218.0
223,186,-185.0
224,500,-500.0
225,500,-500.0
226,500,-500.0
227,500,-500.0
228,474,-473.0
229,492,-491.0
230,500,-500.0
231,500,-500.0
232,315,-314.0
233,500,-500.0
234,500,-500.0
235,500,-500.0
236,500,-500.0
237,500,-500.0
238,467,-466.0
239,149,-148.0
240,118,-117.0
241,97,-96.0
242,156,-155.0
243,138,-137.0
244,125,-124.0
245,500,-500.0
246,500,-500.0
247,500,-500.0
248,500,-500.0
249,368,-367.0
250,445,-444.0
251,353,-352.0
252,417,-416.0
253,237,-236.0
254,419,-418.0
255,177,-176.0
256,114,-113.0
257,132,-131.0
258,208,-207.0
259,169,-168.0
260,500,-500.0
261,416,-415.0
262,427,-426.0
263,500,-500.0
264,361,-360.0
265,135,-134.0
266,262,-261.0
267,211,-210.0
268,296,-295.0
269,500,-500.0
270,338,-337.0
271,414,-413.0
272,212,-211.0
273,226,-225.0
274,406,-405.0
275,167,-166.0
276,252,-251.0
277,161,-160.0
278,280,-279.0
279,157,-156.0
280,126,-125.0
281,151,-150.0
282,144,-143.0
283,144,-143.0
284,234,-233.0
285,500,-500.0
286,500,-500.0
287,500,-500.0
288,500,-500.0
289,500,-500.0
290,500,-500.0
291,500,-500.0
292,500,-500.0
293,269,-268.0
294,500,-500.0
295,500,-500.0
296,500,-500.0
297,425,-424.0
298,97,-96.0
299,210,-209.0
300,109,-108.0
301,140,-139.0
302,100,-99.0
303,124,-123.0
304,97,-96.0
305,500,-500.0
306,471,-470.0
307,500,-500.0
308,500,-500.0
309,427,-426.0
310,500,-500.0
311,500,-500.0
312,500,-500.0
313,229,-228.0
314,191,-190.0
315,165,-164.0
316,202,-201.0
317,278,-277.0
318,500,-500.0
319,500,-500.0
320,500,-500.0
321,294,-293.0
322,326,-325.0
323,182,-181.0
324,194,-193.0
325,500,-500.0
326,500,-500.0
327,318,-317.0
328,173,-172.0
329,500,-500.0
330,500,-500.0
331,278,-277.0
332,189,-188.0
333,203,-202.0
334,500,-500.0
335,500,-500.0
336,285,-284.0
337,500,-500.0
338,500,-500.0
339,500,-500.0
340,500,-500.0
341,234,-233.0
342,88,-87.0
343,94,-93.0
344,123,-122.0
345,152,-151.0
346,210,-209.0
347,113,-112.0
348,185,-184.0
349,500,-500.0
350,500,-500.0
351,500,-500.0
352,500,-500.0
353,173,-172.0
354,216,-215.0
355,224,-223.0
356,209,-208.0
357,500,-500.0
358,500,-500.0
359,500,-500.0
360,500,-500.0
361,349,-348.0
362,215,-214.0
363,204,-203.0
364,462,-461.0
365,165,-164.0
366,500,-500.0
367,173,-172.0
368,500,-500.0
369,500,-500.0
370,500,-500.0
371,500,-500.0
372,425,-424.0
373,500,-500.0
374,286,-285.0
375,449,-448.0
376,500,-500.0
377,500,-500.0
378,500,-500.0
379,500,-500.0
380,473,-472.0
381,119,-118.0
382,145,-144.0
383,172,-171.0
384,229,-228.0
385,167,-166.0
386,500,-500.0
387,500,-500.0
388,500,-500.0
389,500,-500.0
390,210,-209.0
391,207,-206.0
392,157,-156.0
393,134,-133.0
394,122,-121.0
395,105,-104.0
396,157,-156.0
397,449,-448.0
398,337,-336.0
399,217,-216.0
400,500,-500.0
401,500,-500.0
