,episode_length,episode_reward
0,14,14.0
1,12,12.0
2,24,24.0
3,20,20.0
4,13,13.0
5,13,13.0
6,14,14.0
7,19,19.0
8,15,15.0
9,16,16.0
10,10,10.0
11,19,19.0
12,14,14.0
13,13,13.0
14,9,9.0
15,14,14.0
16,10,10.0
17,12,12.0
18,14,14.0
19,10,10.0
20,9,9.0
21,13,13.0
22,16,16.0
23,14,14.0
24,14,14.0
25,16,16.0
26,18,18.0
27,20,20.0
28,14,14.0
29,10,10.0
30,10,10.0
31,11,11.0
32,10,10.0
33,15,15.0
34,10,10.0
35,11,11.0
36,11,11.0
37,11,11.0
38,11,11.0
39,10,10.0
40,10,10.0
41,9,9.0
42,9,9.0
43,10,10.0
44,10,10.0
45,9,9.0
46,10,10.0
47,9,9.0
48,10,10.0
49,11,11.0
50,10,10.0
51,9,9.0
52,10,10.0
53,11,11.0
54,8,8.0
55,10,10.0
56,9,9.0
57,10,10.0
58,10,10.0
59,9,9.0
60,9,9.0
61,9,9.0
62,9,9.0
63,10,10.0
64,10,10.0
65,8,8.0
66,9,9.0
67,10,10.0
68,10,10.0
69,9,9.0
70,9,9.0
71,9,9.0
72,13,13.0
73,9,9.0
74,12,12.0
75,8,8.0
76,8,8.0
77,9,9.0
78,11,11.0
79,9,9.0
80,11,11.0
81,10,10.0
82,10,10.0
83,9,9.0
84,11,11.0
85,9,9.0
86,11,11.0
87,8,8.0
88,9,9.0
89,8,8.0
90,10,10.0
91,11,11.0
92,12,12.0
93,13,13.0
94,11,11.0
95,12,12.0
96,17,17.0
97,8,8.0
98,10,10.0
99,10,10.0
100,8,8.0
101,8,8.0
102,9,9.0
103,10,10.0
104,10,10.0
105,9,9.0
106,9,9.0
107,10,10.0
108,9,9.0
109,10,10.0
110,8,8.0
111,40,40.0
112,12,12.0
113,15,15.0
114,9,9.0
115,10,10.0
116,9,9.0
117,13,13.0
118,22,22.0
119,22,22.0
120,78,78.0
121,61,61.0
122,85,85.0
123,41,41.0
124,77,77.0
125,86,86.0
126,76,76.0
127,75,75.0
128,106,106.0
129,60,60.0
130,36,36.0
131,40,40.0
132,58,58.0
133,70,70.0
134,75,75.0
135,49,49.0
136,70,70.0
137,60,60.0
138,127,127.0
139,58,58.0
140,119,119.0
141,102,102.0
142,84,84.0
143,163,163.0
144,88,88.0
145,172,172.0
146,390,390.0
147,351,351.0
148,360,360.0
149,254,254.0
150,219,219.0
151,233,233.0
152,172,172.0
153,425,425.0
154,478,478.0
155,293,293.0
156,270,270.0
157,500,500.0
158,284,284.0
159,296,296.0
160,270,270.0
161,311,311.0
162,351,351.0
163,456,456.0
164,302,302.0
165,291,291.0
166,500,500.0
167,263,263.0
168,263,263.0
169,390,390.0
170,500,500.0
171,383,383.0
172,500,500.0
173,402,402.0
174,500,500.0
175,500,500.0
176,250,250.0
177,500,500.0
178,500,500.0
179,430,430.0
180,500,500.0
181,500,500.0
182,312,312.0
183,263,263.0
184,500,500.0
185,500,500.0
186,500,500.0
187,500,500.0
188,297,297.0
189,500,500.0
190,500,500.0
191,461,461.0
192,500,500.0
193,500,500.0
194,500,500.0
195,412,412.0
196,326,326.0
197,500,500.0
198,500,500.0
199,500,500.0
200,500,500.0
201,455,455.0
202,500,500.0
203,441,441.0
204,500,500.0
205,414,414.0
206,500,500.0
207,500,500.0
208,500,500.0
209,500,500.0
210,500,500.0
211,500,500.0
212,256,256.0
213,500,500.0
214,500,500.0
215,500,500.0
216,445,445.0
217,500,500.0
218,500,500.0
219,284,284.0
220,500,500.0
221,500,500.0
222,388,388.0
223,273,273.0
224,500,500.0
225,218,218.0
226,495,495.0
227,500,500.0
228,500,500.0
229,500,500.0
230,500,500.0
231,500,500.0
232,500,500.0
233,500,500.0
234,500,500.0
235,500,500.0
236,500,500.0
