,episode_length,episode_reward
0,20,20.0
1,17,17.0
2,34,34.0
3,28,28.0
4,10,10.0
5,10,10.0
6,21,21.0
7,12,12.0
8,23,23.0
9,12,12.0
10,13,13.0
11,13,13.0
12,12,12.0
13,22,22.0
14,12,12.0
15,9,9.0
16,9,9.0
17,14,14.0
18,12,12.0
19,10,10.0
20,16,16.0
21,29,29.0
22,14,14.0
23,15,15.0
24,9,9.0
25,17,17.0
26,10,10.0
27,13,13.0
28,28,28.0
29,9,9.0
30,16,16.0
31,26,26.0
32,9,9.0
33,8,8.0
34,11,11.0
35,17,17.0
36,12,12.0
37,11,11.0
38,67,67.0
39,9,9.0
40,9,9.0
41,13,13.0
42,36,36.0
43,12,12.0
44,9,9.0
45,11,11.0
46,18,18.0
47,23,23.0
48,10,10.0
49,26,26.0
50,11,11.0
51,24,24.0
52,31,31.0
53,10,10.0
54,11,11.0
55,9,9.0
56,28,28.0
57,8,8.0
58,11,11.0
59,13,13.0
60,9,9.0
61,18,18.0
62,10,10.0
63,45,45.0
64,8,8.0
65,13,13.0
66,10,10.0
67,32,32.0
68,16,16.0
69,9,9.0
70,36,36.0
71,10,10.0
72,37,37.0
73,11,11.0
74,16,16.0
75,9,9.0
76,12,12.0
77,30,30.0
78,16,16.0
79,30,30.0
80,32,32.0
81,30,30.0
82,34,34.0
83,10,10.0
84,22,22.0
85,37,37.0
86,11,11.0
87,11,11.0
88,10,10.0
89,11,11.0
90,9,9.0
91,15,15.0
92,12,12.0
93,13,13.0
94,13,13.0
95,12,12.0
96,10,10.0
97,9,9.0
98,12,12.0
99,14,14.0
100,12,12.0
101,11,11.0
102,9,9.0
103,16,16.0
104,8,8.0
105,11,11.0
106,14,14.0
107,11,11.0
108,16,16.0
109,11,11.0
110,15,15.0
111,12,12.0
112,9,9.0
113,14,14.0
114,10,10.0
115,13,13.0
116,9,9.0
117,14,14.0
118,9,9.0
119,10,10.0
120,14,14.0
121,8,8.0
122,11,11.0
123,9,9.0
124,13,13.0
125,12,12.0
126,16,16.0
127,21,21.0
128,10,10.0
129,18,18.0
130,9,9.0
131,9,9.0
132,12,12.0
133,9,9.0
134,10,10.0
135,9,9.0
136,9,9.0
137,8,8.0
138,12,12.0
139,9,9.0
140,18,18.0
141,10,10.0
142,9,9.0
143,16,16.0
144,10,10.0
145,9,9.0
146,9,9.0
147,11,11.0
148,10,10.0
149,10,10.0
150,17,17.0
151,13,13.0
152,10,10.0
153,11,11.0
154,12,12.0
155,9,9.0
156,11,11.0
157,9,9.0
158,9,9.0
159,15,15.0
160,9,9.0
161,10,10.0
162,9,9.0
163,8,8.0
164,9,9.0
165,10,10.0
166,9,9.0
167,9,9.0
168,9,9.0
169,8,8.0
170,9,9.0
171,15,15.0
172,11,11.0
173,8,8.0
174,12,12.0
175,10,10.0
176,8,8.0
177,8,8.0
178,10,10.0
179,9,9.0
180,9,9.0
181,10,10.0
182,8,8.0
183,9,9.0
184,10,10.0
185,11,11.0
186,9,9.0
187,16,16.0
188,10,10.0
189,16,16.0
190,33,33.0
191,8,8.0
192,15,15.0
193,50,50.0
194,34,34.0
195,20,20.0
196,41,41.0
197,26,26.0
198,30,30.0
199,32,32.0
200,31,31.0
201,53,53.0
202,24,24.0
203,26,26.0
204,34,34.0
205,25,25.0
206,30,30.0
207,16,16.0
208,20,20.0
209,19,19.0
210,23,23.0
211,17,17.0
212,26,26.0
213,15,15.0
214,18,18.0
215,17,17.0
216,24,24.0
217,25,25.0
218,25,25.0
219,31,31.0
220,18,18.0
221,24,24.0
222,12,12.0
223,9,9.0
224,10,10.0
225,11,11.0
226,11,11.0
227,11,11.0
228,11,11.0
229,9,9.0
230,12,12.0
231,10,10.0
232,13,13.0
233,11,11.0
234,10,10.0
235,11,11.0
236,13,13.0
237,9,9.0
238,11,11.0
239,11,11.0
240,9,9.0
241,14,14.0
242,13,13.0
243,11,11.0
244,11,11.0
245,11,11.0
246,10,10.0
247,9,9.0
248,12,12.0
249,14,14.0
250,10,10.0
251,12,12.0
252,14,14.0
253,12,12.0
254,14,14.0
255,12,12.0
256,13,13.0
257,13,13.0
258,10,10.0
259,16,16.0
260,11,11.0
261,13,13.0
262,12,12.0
263,15,15.0
264,11,11.0
265,10,10.0
266,11,11.0
267,11,11.0
268,14,14.0
269,11,11.0
270,12,12.0
271,12,12.0
272,11,11.0
273,10,10.0
274,12,12.0
275,18,18.0
276,10,10.0
277,15,15.0
278,13,13.0
279,18,18.0
280,13,13.0
281,17,17.0
282,17,17.0
283,13,13.0
284,15,15.0
285,14,14.0
286,15,15.0
287,17,17.0
288,14,14.0
289,15,15.0
290,13,13.0
291,18,18.0
292,14,14.0
293,18,18.0
294,12,12.0
295,14,14.0
296,13,13.0
297,16,16.0
298,17,17.0
299,15,15.0
300,17,17.0
301,30,30.0
302,29,29.0
303,66,66.0
304,42,42.0
305,71,71.0
306,64,64.0
307,34,34.0
308,30,30.0
309,48,48.0
310,143,143.0
311,23,23.0
312,17,17.0
313,13,13.0
314,18,18.0
315,19,19.0
316,16,16.0
317,25,25.0
318,20,20.0
319,21,21.0
320,14,14.0
321,15,15.0
322,20,20.0
323,20,20.0
324,22,22.0
325,15,15.0
326,16,16.0
327,19,19.0
328,17,17.0
